activity_id,master_code,activity_title,city_name,country_name,image_number,quality_score,pix_url,rank
1262492,1040761,Taronga Zoo Ticket with Optional Round Trip Ferry,Sydney,Australia,8,91,https://pix6.agoda.net/generic/0ee07e9673f15eb1fead21da8a6aa567.jpeg?ce=0,8
1421782,1037784,Australia: SEA LIFE Sydney E-Ticket,Sydney,Australia,1,87,https://pix6.agoda.net/generic/47f4109e841bee2e59c36cccc16f0577.jpeg?ce=0,1
1421782,1037784,Australia: SEA LIFE Sydney E-Ticket,Sydney,Australia,2,85,https://pix6.agoda.net/generic/2ac8a2bcd368821c3db4384b03a33e57.jpeg?ce=0,2
1421782,1037784,Australia: SEA LIFE Sydney E-Ticket,Sydney,Australia,3,82,https://pix6.agoda.net/generic/43698e5fdcd7321956ee062347b74bb1.jpeg?ce=0,3
1421782,1037784,Australia: SEA LIFE Sydney E-Ticket,Sydney,Australia,4,82,https://pix6.agoda.net/generic/d3e1a1ca94eef16ff4a0f37534075cc7.jpeg?ce=0,4
1530995,1045201,SEA LIFE Melbourne,Melbourne,Australia,1,92,https://pix6.agoda.net/generic/ad35cf148c46b94b75e08e46edbf5ab0.jpeg?ce=3,1
1530995,1045201,SEA LIFE Melbourne,Melbourne,Australia,2,92,https://pix6.agoda.net/generic/c94f82a654aa21f6012129cd50cef05b.jpeg?ce=3,2
1530995,1045201,SEA LIFE Melbourne,Melbourne,Australia,3,92,https://pix6.agoda.net/generic/451372e8f7ff73ad7775be490376a2d3.jpeg?ce=3,3
1530995,1045201,SEA LIFE Melbourne,Melbourne,Australia,4,92,https://pix6.agoda.net/generic/82ea6a646e358aff7d427d88074f3f7b.jpeg?ce=3,4
1530995,1045201,SEA LIFE Melbourne,Melbourne,Australia,5,89,https://pix6.agoda.net/generic/c08acb33505b3c2261d26b1c634fa574.jpeg?ce=3,5
1531030,1037784,SEA LIFE Sydney Aquarium,Sydney,Australia,1,90,https://pix6.agoda.net/generic/d3772a3605baee8c257c15b3b249810d.jpeg?ce=3,1
